Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
P63098,PPP3R1,,0.1086,-1.4561,*,0.0311,-2.1670
P98194,ATP2C1,,0.1164,-0.5533,*,0.0331,-0.7771
P49757,NUMB,*,0.0057,-1.3517,,0.0235,-1.0682
P32418,SLC8A1,*,0.0228,-0.9124,,0.0029,-0.9131
Q9UPT5,EXOC7,*,0.0031,-2.1134,*,0.0258,-2.0093
Q9H082,RAB33B,*,0.0045,-1.0176,*,0.0172,-0.9171
P31947,SFN,*,0.0034,-0.6879,*,0.0005,-0.9053
Q7L1I2,SV2B,*,0.0049,-0.9430,*,0.0138,-1.0224
Q9NRZ7,AGPAT3,,0.0229,-0.9567,*,0.0084,-1.1308
Q99584,S100A13,*,0.0129,-0.8262,*,0.0043,-1.0446
Q96FJ2,DYNLL2,*,0.0359,-0.6880,*,0.0012,-1.1487
Q9NYB9,ABI2,,0.0160,-0.4554,*,0.0007,-0.7243
Q86Y39,NDUFA11,,0.0368,-0.4659,*,0.0039,-0.8251
Q8IZS8,CACNA2D3,*,0.0213,-1.2589,*,0.0007,-2.2471
P04216,THY1,,0.0089,-0.4306,*,0.0004,-0.7228
P21579,SYT1,,0.0046,-0.4443,*,0.0001,-0.7233
Q96AG3,SLC25A46,,0.0537,-1.1086,*,0.0009,-2.1972
Q8NC96,NECAP1,,0.0631,-0.4589,*,0.0003,-0.9009
Q9UNE7,STUB1,,0.0562,-0.5583,*,0.0013,-1.1052
Q9Y6R0,NUMBL,*,0.0246,-0.7536,*,0.0049,-1.4459
Q8N9N7,LRRC57,,0.0757,-0.3954,*,0.0011,-0.7082
P63167,DYNLL1,,0.0323,-0.4477,*,0.0048,-0.7490
P62166,NCS1,,0.0603,-0.5980,*,0.0005,-1.0065
Q12904,AIMP1,,0.0952,-0.5445,*,0.0167,-1.1022
P27986,PIK3R1,,0.1250,-0.4733,*,0.0062,-0.9319
Q9Y5S2,CDC42BPB,*,0.0479,-0.5894,*,0.0093,-1.1625
Q6IBS0,TWF2,,0.0895,-0.3072,*,0.0035,-0.5915
P25398,RPS12,,0.1220,-0.3129,*,0.0055,-0.7214
P61604,HSPE1,,0.1471,-0.3463,*,0.0076,-0.8955
Q8WUW1,BRK1,,0.1797,-0.4475,*,0.0024,-1.1320
P62333,PSMC6,,0.1340,-0.2426,*,0.0179,-0.6024
Q13825,AUH,,0.2023,-0.2591,*,0.0247,-0.6840
Q86UY8,NT5DC3,,0.1854,-0.5120,*,0.0135,-1.4220
P28289,TMOD1,,0.1781,-0.5694,*,0.0280,-1.4190
Q9H313,TTYH1,,0.2154,-0.3171,*,0.0026,-0.7580
P16298,PPP3CB,,0.2111,-0.2566,*,0.0185,-0.6271
Q8IV01,SYT12,,0.1025,-0.5182,*,0.0251,-1.1051
O75822,EIF3J,,0.0889,-0.4183,*,0.0261,-0.9445
Q12791,KCNMA1,,0.3060,-0.3148,*,0.0444,-0.8714
Q13332,PTPRS,,0.1449,-0.4706,*,0.0478,-1.3322
Q9HAV7,GRPEL1,,0.2181,-0.6409,*,0.0222,-1.6430
Q14847,LASP1,,0.1068,-0.3261,*,0.0316,-0.8177
P63027,VAMP2,,0.1979,-0.2811,*,0.0170,-0.6845
Q99643,SDHC,,0.2309,-0.6333,*,0.0148,-1.5964
Q92796,DLG3,,0.2105,-0.3144,*,0.0196,-0.8086
Q9Y6V0,PCLO,,0.1710,-0.3283,*,0.0211,-0.7884
Q96GY0,ZC2HC1A,*,0.0329,-0.7265,*,0.0283,-1.0086
O14979,HNRNPDL,*,0.0248,-1.0880,*,0.0204,-1.5784
O94910,LPHN1,*,0.0169,-0.7526,*,0.0381,-1.0690
Q15370,TCEB2,,0.0704,-0.3943,*,0.0454,-0.6098
P14867,GABRA1,,0.1274,-0.5667,*,0.0074,-0.9069
O94875,SORBS2,,0.0886,-0.8912,*,0.0347,-1.4007
P62158,CALM1,*,0.0414,-0.7081,*,0.0190,-1.0676
Q9UMS0,NFU1,,0.0999,-0.9340,*,0.0048,-1.6155
Q8WXF1,PSPC1,,0.1237,-0.6300,*,0.0044,-1.1655
O14490,DLGAP1,,0.1389,-0.3741,*,0.0163,-0.7047
P14854,COX6B1,,0.1100,-0.4537,*,0.0044,-0.8084
P07951,TPM2,,0.0768,-0.5078,*,0.0289,-0.8625
Q13367,AP3B2,,0.0525,-0.3642,*,0.0196,-0.6084
Q96HU8,DIRAS2,,0.0600,-0.6110,*,0.0011,-0.8685
Q5XKP0,QIL1,,0.0659,-0.5498,*,0.0038,-0.8730
Q9BXF6,RAB11FIP5,*,0.0385,-1.1049,*,0.0005,-1.6403
A6NHL2,TUBAL3,,0.0468,-1.7386,*,0.0067,-2.6266
P17677,GAP43,,0.0322,-0.4154,*,0.0048,-0.6424
P52594,AGFG1,,0.5505,-0.2152,*,0.0464,-0.7426
Q6P995,FAM171B,,0.3468,-0.3983,*,0.0065,-0.9865
P78362,SRPK2,,0.4248,-0.2634,*,0.0272,-0.7444
Q8WXS5,CACNG8,,0.3920,-0.4997,*,0.0445,-1.3544
Q14416,GRM2,,0.3692,-0.3677,*,0.0336,-1.0307
P05937,CALB1,,0.0893,-0.8307,*,0.0290,-1.6950
Q92734,TFG,,0.1548,-0.2931,*,0.0311,-0.6017
Q9C0D0,PHACTR1,,0.0814,-0.4927,*,0.0474,-0.9689
Q9UJU6,DBNL,,0.1541,-0.3252,*,0.0140,-0.6111
Q13630,TSTA3,,0.2009,-0.5118,*,0.0333,-1.2087
P18859,ATP5J,,0.2749,-0.2797,*,0.0266,-0.6249
P35908,KRT2,,0.2017,-0.9279,*,0.0483,-2.0212
P14621,ACYP2,,0.1692,-0.4667,*,0.0459,-0.7951
O95372,LYPLA2,,0.2440,-0.3387,*,0.0125,-0.6015
P53999,SUB1,,0.1401,-1.0124,*,0.0488,-1.7666
