Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
O60664,PLIN3,,0.2232,0.8498,*,0.0498,1.4623
P30043,BLVRB,,0.0656,0.3155,*,0.0182,0.6390
Q13938,CAPS,,0.1156,1.5496,*,0.0126,3.1656
O14745,SLC9A3R1,,0.0668,0.3233,*,0.0339,0.6151
Q9Y3Z3,SAMHD1,,0.0533,1.4034,*,0.0030,2.4919
P51178,PLCD1,,0.2007,0.3702,*,0.0387,0.8875
P04083,ANXA1,,0.1619,0.8350,*,0.0321,1.8013
Q9BYT8,NLN,,0.3506,0.6162,*,0.0165,1.5120
P15259,PGAM2,,0.3366,0.6916,*,0.0453,1.7837
Q8N8N7,PTGR2,,0.6498,0.1715,*,0.0373,0.8181
Q9BUT1,BDH2,,0.4489,0.2653,*,0.0176,0.9543
P07741,APRT,,0.3689,0.1663,*,0.0444,0.5895
P25054,APC,,0.2406,0.5717,*,0.0008,1.9372
P55769,NHP2L1,,0.6944,0.2769,*,0.0066,1.9920
Q01469,FABP5,,0.4841,0.1971,*,0.0277,0.9414
Q99643,SDHC,*,0.0318,-0.7106,,0.1019,-1.0410
P27635,RPL10,*,0.0026,-0.7106,,0.0444,-0.6318
Q8N9N7,LRRC57,*,0.0039,-0.6383,*,0.0021,-1.0582
P17612,PRKACA,*,0.0160,-0.6368,*,0.0104,-1.2965
Q96FJ2,DYNLL2,*,0.0465,-0.6302,,0.1486,-0.5282
Q96HU8,DIRAS2,*,0.0181,-0.6064,*,0.0344,-0.8855
Q9BRA2,TXNDC17,*,0.0408,0.6466,,0.2460,0.6100
Q14699,RFTN1,*,0.0403,0.6523,,0.9247,0.0310
P17931,LGALS3,*,0.0497,0.6585,*,0.0421,0.8729
O95865,DDAH2,*,0.0086,0.6599,,0.2638,0.3555
Q99816,TSG101,*,0.0272,0.6713,,0.7042,0.1874
P46976,GYG1,*,0.0444,0.6846,,0.1946,0.6934
Q03001,DST,*,0.0033,0.6987,,0.6304,0.1676
Q9UNF0,PACSIN2,*,0.0110,0.7001,,0.2014,0.5198
P60842,EIF4A1,*,0.0032,0.7015,,0.1496,0.5538
P08670,VIM,*,0.0166,0.7118,*,0.0219,1.0002
P14136,GFAP,*,0.0355,0.7713,*,0.0161,1.2118
P48739,PITPNB,*,0.0295,0.7940,,0.8273,0.1083
Q9P2R3,ANKFY1,*,0.0090,0.7950,,0.8839,0.0902
P40121,CAPG,*,0.0048,0.8263,,0.1579,0.6636
Q9UJY1,HSPB8,*,0.0431,0.9057,,0.0851,1.0343
O00299,CLIC1,*,0.0407,0.9476,,0.1040,0.7944
P07355,ANXA2,*,0.0077,0.9510,*,0.0338,1.2736
Q9UM00,TMCO1,*,0.0444,0.9649,,0.5604,0.3314
O95817,BAG3,*,0.0377,1.0563,,0.1453,1.4038
P63218,GNG5,*,0.0370,1.1031,,0.9315,0.0542
Q9H4A4,RNPEP,*,0.0023,1.1533,,0.1420,0.8349
O95721,SNAP29,*,0.0214,1.1680,,0.1553,1.0152
P21333,FLNA,*,0.0012,1.2864,*,0.0359,0.9486
P42167,TMPO,*,0.0209,1.2890,,0.1579,1.0380
P35244,RPA3,*,0.0147,1.3697,,0.3207,0.8552
Q6YP21,CCBL2,*,0.0049,1.4054,,0.4517,0.4733
P46939,UTRN,*,0.0301,1.5369,,0.4980,0.5420
P12111,COL6A3,*,0.0072,2.1645,*,0.0451,1.5292
