Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
Q8WU79,SMAP2,,0.5787,0.3626,*,0.0440,0.7806
Q96KP1,EXOC2,,0.5539,0.3821,*,0.0365,0.8464
Q96S19,C16orf13,,0.4132,0.3469,*,0.0389,0.7161
P54619,PRKAG1,,0.4616,0.3492,*,0.0485,0.8002
P35270,SPR,,0.3898,0.5164,*,0.0152,0.9839
P35527,KRT9,*,0.0020,1.3173,,0.8791,-0.0892
P11586,MTHFD1,*,0.0170,1.2688,,0.3989,0.1864
Q15052,ARHGEF6,*,0.0368,0.9795,,0.3299,0.6088
P62068,USP46,*,0.0335,1.0303,,0.1531,0.7719
Q13177,PAK2,*,0.0414,1.0713,,0.2764,0.7240
O95671,ASMTL,*,0.0159,1.1136,,0.1735,0.6872
P63218,GNG5,*,0.0324,2.3942,,0.1374,1.6352
P48059,LIMS1,*,0.0431,0.7202,,0.2575,0.4000
